Origem/Destino;Paquetá;Freguesia (Ilha);Bancários;Galeão;Tauá;Portuguesa;Moneró;Vigário Geral;Cocotá;Jardim América;Jardim Carioca;Pavuna;Cordovil;Jardim Guanabara;Parada de Lucas;Parque Colúmbia;Praia da Bandeira;Penha Circular;Cacuia;Irajá;Anchieta;Acari;Pitangueiras;Costa Barros;Brás de Pina;Penha;Zumbi;Ribeira;Coelho Neto;Guadalupe;Parque Anchieta;Barros Filho;Vista Alegre;Ricardo de Albuquerque;Colégio;Honório Gurgel;Olaria;Vila da Penha;Maré;Vila Militar;Cidade Universitária;Rocha Miranda;Ramos;Realengo;Vila Kosmos;Marechal Hermes;Vicente de Carvalho;Paciência;Engenho da Rainha;Complexo do Alemão;Vaz Lobo;Padre Miguel;Bento Ribeiro;Turiaçú;Bonsucesso;Inhaúma;Tomás Coelho;Santíssimo;Madureira;Osvaldo Cruz;Santa Cruz;Magalhães Bastos;Senador Camará;Cavalcanti;Campo dos Afonsos;Higienópolis;Manguinhos;Engenheiro Leal;Pilares;Del Castilho;Piedade;Cascadura;Vila Valqueire;Maria da Graça;Quintino Bocaiúva;Jardim Sulacap;Campinho;Abolição;Senador Vasconcelos;Cosmos;Jacarezinho;Cachambi;Praça Seca;Benfica;Engenho de Dentro;São Cristóvão;Vasco da Gama;Inhoaíba;Todos os Santos;Jacaré;Encantado;Rocha;Méier;Gamboa;Santo Cristo;Centro;Sampaio;Riachuelo;Saúde;São Francisco Xavier;Engenho Novo;Mangueira;Tanque;Taquara;Água Santa;Lins de Vasconcelos;Freguesia (Jacarepaguá);Cidade Nova;Praça da Bandeira;Vila Isabel;Maracanã;Glória;Rio Comprido;Santa Teresa;Estácio;Tijuca;Catumbi;Grajaú;Pechincha;Andaraí;Catete;Flamengo;Laranjeiras;Guaratiba;Vargem Grande;Alto da Boa Vista;Cosme Velho;Curicica;Botafogo;Urca;Cidade de Deus;Sepetiba;Anil;Jacarepaguá;Camorim;Humaitá;Gardênia Azul;Jardim Botânico;Vargem Pequena;Copacabana;Leme;Lagoa;Itanhangá;Gávea;Barra da Tijuca;Leblon;Ipanema;São Conrado;Rocinha;Pedra de Guaratiba;Recreio dos Bandeirantes;Vidigal;Joá;Barra de Guaratiba;Grumari;Caju;Deodoro;Lapa;Campo Grande;Bangu;Gericinó;Jabour;Vila Kennedy;Ilha de Guaratiba
Maria da Graça;12929;20467;18258;13799;17454;16183;17000;16017;18396;17102;16678;13420;13886;16120;12053;13485;18769;12524;18103;9014;20387;12414;18396;14651;10918;8061;18963;20066;14575;14675;21136;13268;10095;18557;9482;11818;5265;7785;6065;19825;7978;10625;5562;23475;7051;14483;8850;45000;5578;4089;9939;25967;13316;11431;4456;2940;5306;34126;11890;12504;53650;20759;30454;6565;16084;1934;5792;7740;4467;4333;7767;11163;15547;0;9909;20338;11892;6292;35525;46051;2059;1669;17721;4225;7491;7091;6638;42344;3115;2337;7161;4112;3267;12384;10811;14176;3371;4741;12344;6241;3919;6224;15295;17311;7379;5255;12099;11507;12117;5671;7415;20337;13498;14345;12444;7250;13079;7740;14233;6366;18131;20503;16723;45069;34351;15328;22177;22461;20306;23590;17448;58293;16547;23724;27114;19348;16550;20275;29174;21303;23778;19113;32403;22412;20542;21928;22292;29222;25096;49672;32108;24289;28662;44788;41051;11107;15905;14928;37981;26738;28176;29497;27035;43362
Quintino Bocaiúva;19866;27404;25195;20736;24391;23120;23937;22953;25332;24039;23615;12822;20823;23056;14899;12887;25706;19461;25040;8590;13329;11815;25333;12281;11638;15638;25900;27003;12210;11729;14079;10317;9928;11499;8883;8778;12160;10257;13001;11866;14915;7911;13140;14910;9523;7381;7904;38166;7936;10983;5864;17371;6214;5867;11392;9522;6394;27292;6326;5401;46816;12483;23620;5466;8982;10176;12729;3816;7000;8283;2458;2679;8445;10155;0;13448;4790;4041;28691;39217;11009;7327;7294;12150;4457;17791;15093;35511;5799;11287;3611;9886;6314;19321;17748;21113;8773;10144;19281;14166;8413;14149;8946;11073;4080;6620;9760;18443;19054;11422;12818;27274;20435;21281;19381;13001;20016;11209;11894;11126;25068;27440;23660;42730;32012;21079;29114;20122;27243;30527;15109;51002;14208;12490;24775;26284;14211;27211;26835;28240;30715;26050;30063;29349;18203;28864;29229;32629;32033;47333;29769;31226;32069;42448;38712;18044;10317;21865;31147;19904;21342;22663;20201;41023
Jardim Sulacap;36944;39065;36856;32397;36052;34781;35599;20556;36994;19010;35276;16725;19732;34718;18421;16790;37367;22163;36701;16546;12117;15719;36995;17164;20781;23224;37562;38664;13040;16608;12867;15201;17727;10288;15952;13958;26711;20269;30771;6829;29286;15306;26938;6200;13326;12231;12307;31412;13712;19339;10266;8661;6045;10269;19748;15425;12170;20538;10728;6866;40062;5310;13316;11242;2306;18532;29820;9592;12775;16239;10814;8455;3765;18112;9576;0;7500;11190;21936;32462;18966;15318;6981;20107;12813;33356;32607;28756;13790;17282;11967;17876;15104;36399;34826;38191;16764;18135;36360;20028;16404;20964;6968;5908;14008;14976;10111;35522;36132;19412;20809;44352;37513;38360;36459;20992;37094;22389;8054;22306;42146;44518;40738;36028;25962;34596;41081;11938;45556;47605;9209;44248;12705;8725;15329;34641;11663;35567;20785;36596;47794;34406;27787;31418;15926;32757;37585;30352;29678;40631;23067;31767;29793;35747;31495;35122;11164;38943;24392;13150;14587;12359;13446;34322
Campinho;23081;30619;28410;23951;27606;26335;27152;13395;28547;14742;26830;12084;15465;26271;14162;12150;28921;12078;28254;7852;11119;11078;28548;11543;10900;11979;29115;30218;10000;10722;11869;9579;9191;9290;8146;8040;15374;8616;16216;11547;18129;7174;16354;10918;8186;5171;7167;36130;8439;14198;5127;13379;3114;5129;14607;10152;6897;25256;5588;2185;44780;10028;18034;5969;4965;13391;15944;4319;7634;10967;5673;3313;3593;12840;4434;10277;0;6049;26654;37180;13694;10176;2942;14834;7672;21005;18308;33474;8649;12141;6825;12735;9963;22536;20963;24328;11623;12993;22496;14887;11263;15823;5012;7139;7295;9835;8428;21658;22269;14271;15668;30488;23650;24496;22595;15851;23230;14857;6372;14967;28283;30655;26875;40746;30680;23929;32329;9611;30458;33742;9040;48965;11022;8556;15451;29499;11283;30426;25503;31455;33930;29265;27136;32564;15275;32079;32444;29701;29027;45349;27785;31116;29142;40465;36212;21259;8107;25080;29110;17867;19305;17077;18164;39040
Abolição;15631;23169;20961;16501;20157;18886;19703;18719;21098;19804;19380;12644;16589;18822;11277;12709;21471;15226;20805;8238;14870;11638;21099;13875;10142;11404;21666;22768;13799;13899;15620;12492;9319;13040;8706;10442;7925;7009;8767;13407;10680;9849;8905;16451;6275;8922;8074;39707;4688;6749;7529;18912;7755;7531;7158;5288;3587;28833;7990;6942;48357;14023;25161;4847;10523;5942;8495;4390;1373;4048;3290;5601;9986;5921;4858;14988;6331;0;30232;40758;6775;3789;8835;7916;3383;13556;10858;37051;3300;7052;2537;8117;5345;15087;13513;16879;7005;8375;15047;9931;6645;9914;14239;16255;6324;8234;11044;14209;14820;10386;15252;23039;16200;17047;15146;11966;15781;10239;13178;11082;20833;23205;19425;44014;33296;20044;24880;21406;23009;26292;16393;57238;15492;22669;26059;22050;15495;22977;28119;24006;26481;21816;31348;25115;19487;24630;24995;31924;27799;48617;31053;26991;31365;43732;39996;13810;11858;17630;32688;21445;22883;24204;21742;42307
Senador Vasconcelos;48066;50187;47978;43519;47174;45903;46720;31678;48116;30132;46398;27847;30854;45840;29543;27912;48489;33285;47823;27668;23239;26840;48116;28286;31903;34346;48683;49786;24162;27730;23989;26323;28849;21409;27074;25080;37833;31390;41893;17951;40408;26428;38060;11091;30455;23353;29654;18781;32423;38823;29752;8977;23557;27788;39164;34136;30970;3345;28649;24985;27431;18225;7054;32230;23115;40823;40942;30003;32807;34951;31298;29065;24375;36823;30185;25142;28110;31324;0;12350;37677;37287;27591;43106;33276;44478;43729;9812;33924;37955;32429;44154;35237;47521;45948;49313;45990;45558;47481;44122;36537;44105;29906;26302;45076;49450;31875;46643;47254;45700;47687;55474;48635;49481;47581;50848;48216;43358;29818;48264;53268;55640;51860;17644;43211;56310;52203;29187;56678;58727;29684;23160;39866;27586;32578;53500;37715;54427;38034;55456;58915;53266;49501;53132;37640;56080;56444;52066;51392;22377;40316;53481;51507;28801;32694;46244;22286;50065;7411;9875;14188;4786;9767;19458
Cosmos;59172;61293;59084;54625;58280;57009;57827;42784;59222;41238;57504;38953;41960;56946;40649;39018;59595;44391;58929;38774;34345;37947;59223;39392;43009;45452;59790;60892;35268;38836;35095;37429;39955;32516;38180;36186;48939;42497;52999;29057;51514;37534;49166;28234;41561;34459;40760;5428;43529;49930;40858;27849;34663;38895;50270;45242;42077;17944;39755;36091;12225;29331;17598;43336;34221;51929;52048;41109;43913;46057;42404;40171;35481;47929;41292;36249;39216;42430;10543;0;48783;48393;38697;54212;44382;55584;54835;3319;45030;49061;43536;55260;46343;58627;57054;60419;57096;56664;58588;55229;47644;55212;41012;37408;56182;60556;42981;57750;58360;56806;58793;66580;59741;60588;58687;61955;59322;54464;40924;59371;64374;66746;62966;20621;37042;67416;63309;40293;67784;69833;40791;13268;50972;38692;43684;64606;48821;65533;49140;66562;70021;64372;60608;64238;48747;67186;67550;63173;62498;18304;32521;64587;62613;31009;34902;57350;33392;61171;8956;20981;25294;15329;20873;24894
Jacarezinho;14860;22398;20189;15730;19385;18114;18931;17947;20326;19032;18609;15351;15817;18050;13983;15416;20700;14455;20033;10944;22317;14344;20327;16582;12849;9616;20894;21997;16506;16606;23067;15198;12026;20487;11412;13748;7196;9715;7995;21756;9908;12555;7117;25406;8981;16414;10781;46931;7508;6019;11870;27897;15247;13361;6187;4871;7236;36057;13820;14434;55581;22690;32385;8496;18015;3864;5153;9670;6397;6263;9697;13093;17478;2856;11840;22268;13823;8223;37455;47981;0;3233;19652;3308;9421;7293;5720;44275;5045;1566;9092;3359;5031;14315;12742;11648;2617;3988;14275;5881;4330;6817;17225;19241;9310;5862;14030;8977;9010;4917;6662;22267;10679;11526;9625;6497;10550;6987;16164;5613;14272;22434;14373;47000;36282;14575;18394;24392;16523;17935;19379;60224;18478;25655;29045;15565;18481;16492;31105;17520;21110;15330;18401;18629;22473;18145;18509;25439;21313;51603;34039;20506;24879;46718;42982;9343;17836;12399;39911;28669;30106;31428;28965;45293
Cachambi;15740;23278;21069;16610;20265;18994;19811;18827;21206;19912;19489;15876;16697;18930;14509;15941;21580;15335;20913;11469;31014;14870;21207;17107;13374;10130;21774;22877;25202;25302;31763;23895;12551;29184;11937;14274;7334;10241;8875;30452;10788;13081;7632;34103;9507;12528;11306;55627;8034;6158;12395;36594;11361;13887;7266;5396;5529;44754;14346;10549;64277;17630;41081;6788;14129;4003;8603;7765;3336;4156;5554;9207;13592;3101;7379;18723;9937;3992;46152;56678;3476;0;16106;6295;5875;13664;10967;52972;1661;3753;5546;5910;3137;15195;13622;16987;4787;6158;15155;8310;4437;8293;13679;15696;5764;5125;10484;14317;14928;7087;8832;23147;16309;17155;15254;8667;15889;8032;12618;7783;20942;23314;19534;43454;32736;16745;24988;20846;23117;26401;15833;56678;14932;22109;25499;22158;14935;23085;27559;24114;26589;21924;30788;25223;18927;24738;25103;32033;27907;48057;30493;27100;31473;43173;39436;13918;26532;17739;48608;37365;38803;40124;37662;41747
Praça Seca;23862;31400;29191;24732;28387;27116;27933;14176;29328;15524;27611;12866;16246;27053;14943;12931;29702;12859;29036;8634;13561;11859;29329;12324;11681;12760;29896;30999;11520;11773;14311;10361;9972;11732;8927;8821;16156;9397;16998;11494;18911;7955;17136;10866;8968;7613;7948;36077;9221;14979;5908;13327;4610;5911;15388;10934;7679;25203;6370;5634;44727;9975;17981;6751;5760;14172;16725;5101;8415;11748;6454;4095;3168;13621;5216;7805;2341;6830;26602;37128;14475;10958;0;15616;8453;21787;19089;33421;9430;12922;7607;13516;10744;23317;21744;25109;12404;13775;23277;15668;12044;16604;3303;5430;8077;10616;6720;22439;23050;15052;16449;31270;24431;25277;23377;16632;24012;15638;4663;15748;29064;31436;27656;37534;23842;24710;33110;7903;31239;34523;7332;48913;9314;6847;13742;30281;9575;31207;18665;32236;34711;30046;25428;29058;13567;30397;33225;27993;27318;42137;24573;29407;27433;37253;34076;22040;10549;25861;29058;17815;19252;17024;18112;35827
Benfica;8190;20607;18399;13939;17595;16324;17141;15719;18536;16804;16818;21029;13588;16260;18651;19961;18909;12226;18243;13723;27905;19424;18537;22750;14127;12405;19104;20206;22094;22193;28655;20786;18049;26075;14191;22396;7679;12494;6205;27344;8118;15334;7461;30994;11760;26664;13559;52519;10287;7414;14648;33485;17697;16140;4403;7649;10015;41645;16599;16884;61169;28278;37972;11274;20465;4277;3369;12449;8847;7285;12147;15543;19928;5722;14290;24718;16273;10673;43043;53569;3645;6038;22102;0;11871;2914;2461;49863;7558;2858;11542;1759;6345;7645;6072;8905;3932;3500;7605;2064;5645;2047;19675;21691;11760;7177;16480;6234;6267;3642;4167;15598;7936;8782;6882;7329;7806;7542;18614;6207;13392;15764;11984;49450;38732;15188;15651;26842;13780;18851;21829;65355;20928;28105;31495;12821;20931;13748;33555;14777;19039;12587;27516;15886;24923;15401;15766;22696;18570;54053;36489;17763;22136;49168;45432;6085;23424;9656;45499;34257;35694;37015;34553;47743
Engenho de Dentro;17424;24962;22753;18294;21949;20678;21495;20511;22890;21596;21173;17560;18381;20614;16193;17625;23264;17019;22597;13153;16491;16554;22891;18791;15058;13196;23458;24561;26886;26986;17241;25579;14235;14661;13621;11939;9717;11925;10559;15028;12472;11073;10697;18071;11191;10543;12990;41328;9718;8541;9026;20532;9376;9028;8950;7080;9446;30454;9487;8563;49978;15644;26782;10705;12143;7734;10287;6732;4781;5840;3371;7222;11606;7713;5056;15682;7951;3662;31852;42378;8567;3811;10456;9708;0;15348;12651;38672;2249;5775;2339;6370;2721;16879;15306;18671;5400;6771;16839;8664;4815;9600;10639;12655;2393;2399;7443;16001;16612;8048;9445;24831;17993;18839;16938;9628;17573;7615;9578;7533;22626;24998;21218;40413;29696;17706;26672;17805;24801;28085;12793;53637;11891;19069;22458;23842;11894;24769;24519;25798;28273;23608;27747;26907;15886;26422;26787;30312;29591;45016;27452;28784;29753;40132;36396;15602;13479;19423;34308;23066;24503;25825;23362;38707
São Cristóvão;6248;19174;16965;12506;16161;14890;15707;18197;17102;19492;15385;24201;16712;14826;22052;22607;17476;15284;16810;18058;31303;23960;17103;26149;19066;15464;17670;18773;25492;25592;32053;24185;21450;29474;18526;25794;12286;16830;9112;30742;7139;19670;12068;34392;16096;30063;17895;55917;14623;11750;18984;36884;22033;20476;8991;11985;14351;45043;20935;21220;64567;31676;41371;15610;24800;5921;5013;16785;13183;11621;16483;19879;24263;6782;18626;29054;20609;15009;46442;56968;5762;8213;26438;3171;16207;0;1342;53261;9093;5318;15878;4219;8658;4776;4130;6042;6244;5812;4737;4377;7957;1954;24011;26027;16095;9489;20815;3372;3983;5206;2763;12723;5357;6203;4303;5925;4944;7940;22950;6582;10517;12889;14032;53786;43068;13784;12728;31177;10857;15976;26165;68753;25263;32441;35830;9899;25267;10826;37891;11854;15444;9664;24593;12963;29258;12479;12843;19773;15647;58388;40825;14840;19213;53504;49768;7165;26822;6793;48898;37655;39092;40414;37952;52079
Vasco da Gama;6582;19919;17710;13251;16906;15635;16452;15157;17847;16242;16130;20467;13026;15572;18090;19399;18221;11664;17555;14631;27343;18862;17848;22188;13565;11844;18415;19518;21532;21632;28093;20225;17488;25514;15099;21834;8858;13402;5484;26782;7430;16242;8641;30432;12668;26103;14467;51957;11195;8322;15556;32923;18605;17048;5563;8557;10923;41083;17507;17793;60607;27716;37411;12183;30211;5951;4569;13357;9755;8193;13055;16452;20836;10066;15198;25627;17181;11581;42481;53008;5318;7769;23010;2727;12779;2120;0;49301;11317;4874;12450;3775;8025;6259;4464;7364;5611;5179;6220;3744;7324;2992;20583;22600;12668;8856;17388;4694;5305;5321;4651;13990;6679;7526;5625;7813;6266;9221;19522;7886;11784;14156;10376;50358;39640;15672;14051;27750;12180;17243;22737;64793;21836;29013;32403;11221;21839;12148;34463;13177;17432;10987;25915;14286;25831;13801;14165;21095;16970;54961;37397;16162;20536;50077;46340;5523;22862;8115;44938;33695;35132;36454;33992;48651
Inhoaíba;59281;61402;59194;54734;58390;57119;57936;42893;59331;41347;57613;39062;42069;57055;40759;39127;59704;44500;59038;38883;34454;38056;59332;39502;43118;45561;59899;61001;35377;38945;35204;37538;40064;32625;38289;36295;49048;42606;53108;29166;51623;37643;49275;28343;41670;34568;40869;8934;43638;50039;40967;18232;34772;39004;50380;45351;42186;11076;39864;36201;13875;29441;16309;43445;34330;52038;52157;41219;44022;46166;42513;40280;35590;48038;41401;36358;39325;42539;9255;3075;48892;48503;38806;54321;44491;55693;54945;0;45139;49170;43645;55369;46453;58736;57163;60529;57205;56773;58697;55338;47753;55321;41122;37517;56291;60665;43090;57859;58469;56915;58902;66689;59850;60697;58796;62064;59431;54573;41033;59480;64483;66855;63075;15864;37491;67525;63418;40403;67893;69942;40900;13717;51081;38802;43793;64715;48930;65642;39682;66671;70131;64481;60717;64347;48856;67295;67660;63282;62607;18753;32970;64696;62722;31458;35351;57459;33501;61280;7668;21090;25403;14041;20982;17678
Todos os Santos;17070;24608;22399;17940;21595;20324;21141;20158;22537;21243;20819;13722;18027;20261;12355;13787;22910;16665;22244;9315;17229;12716;22537;14953;11220;12843;23104;24207;14877;14977;17978;13570;10397;15399;9783;12120;9364;8087;10206;15766;12119;10927;10344;18809;7353;11280;9152;42066;5766;8187;10040;21270;10114;10042;8597;6726;4665;31192;10501;9301;50716;16382;27519;5925;12881;4553;9933;6901;2472;5487;4306;7960;12344;4369;6131;17475;8689;2744;32590;43116;4542;2149;14858;6844;4628;8272;7770;39410;0;4114;4298;4708;1936;16525;14952;12627;3596;4966;16486;6860;3236;7796;12432;14448;4516;3923;9236;9956;9989;6244;7641;24478;11658;12504;10604;7824;11528;6830;11370;6940;22272;24644;15351;42206;31488;15902;19373;19598;17502;27731;14586;55430;13684;20861;24251;16543;13687;17470;26311;18499;27919;16309;29540;19608;17679;19123;19488;32105;22292;46809;29245;21485;31545;41925;38188;15248;16207;13378;35046;23804;25241;26562;24100;40500
Jacaré;10650;20915;18707;14248;17903;16632;17449;16465;18844;17550;17126;15602;14335;16568;14234;15667;19217;12973;18551;11195;28652;14596;18845;16833;10675;9053;19412;20514;22840;22940;29401;21533;12277;26822;11663;14000;6773;9967;6513;28090;8426;12806;6555;31740;9233;15546;11032;53265;7759;6270;12121;34232;14379;13613;5625;5122;7487;42391;14071;13566;61915;29024;38719;8747;17146;3371;4591;9921;6648;6235;8374;12225;16609;3107;10059;22520;12954;8474;43790;54316;1557;2682;19903;2745;7165;5158;4921;50609;4524;0;7342;1860;4612;10105;8532;11229;2199;3569;10065;4308;3912;4291;17476;19493;9561;5444;14281;8559;8592;4499;6243;18058;10261;11107;9206;6078;10131;6568;16415;5194;13853;18224;13954;47251;36533;14156;17976;24643;16105;21311;19630;60475;18729;25906;29296;15146;18732;16073;31356;17102;20691;14912;17983;18211;22724;17726;18091;25020;20895;51854;34290;20087;24461;46969;43233;8545;24170;11981;46246;35003;36441;37762;35300;45544
Encantado;17216;24754;22546;18087;21742;20471;21288;20304;22683;21389;20965;17353;18174;20407;15986;17418;23056;16811;22390;12946;15109;16347;22684;18584;14851;12989;23251;24353;13990;26779;15859;25372;14028;13280;13414;10558;9510;11718;10352;13646;12265;9691;10490;16690;10984;9161;12783;39947;9511;8334;7644;19151;7994;7647;8743;6873;9239;29073;8106;7182;48597;14263;25400;10498;10762;7527;10080;5759;4573;5633;1491;4622;10225;7506;3162;15299;6570;3121;30471;40997;8360;6227;12683;9501;1808;15141;12443;37291;3194;8637;0;7812;3665;16672;15098;18464;6344;7715;16632;11516;5760;11499;10256;12272;2010;3921;7060;15794;16405;11971;16837;24624;17786;18632;16731;13551;17366;8560;9195;8477;22419;24791;21010;40031;29313;21629;26465;17422;24594;27877;12410;53255;11508;18686;22075;23635;11512;24562;24136;25591;28066;23401;27364;26700;15503;26215;26580;29929;29255;44633;27070;31344;29370;39749;36013;15395;12097;19215;32927;21684;23122;24443;21981;38324
Rocha;9142;21560;19351;14892;18547;17276;18093;16671;19488;17756;17771;21981;14541;17212;19604;20913;19862;13178;19196;12633;28858;20377;19489;23703;15079;13358;20056;21159;23046;23146;29607;21739;19002;27028;13101;23348;7571;11404;7157;28296;9071;14244;7353;31946;10670;15931;12469;53471;9197;8367;13559;34438;14764;15050;5355;6559;8925;42597;15509;13951;62121;29230;38925;10185;17532;4169;4321;11359;9800;8237;8760;12610;16995;4545;10444;25671;13340;11625;43996;54522;2468;4577;23054;2480;7551;3650;3414;50815;5419;1681;7727;0;4998;8598;7024;9640;3636;4235;8558;2800;4297;2783;20628;22644;12712;5829;17432;6970;7002;4378;4903;16550;8672;9518;7617;8064;8542;8006;19566;6632;14344;16716;12936;50402;39684;15923;16387;27794;14516;19803;22781;66307;21880;29057;32447;13557;21883;14484;34507;15513;19992;13323;28251;16622;25875;16137;16501;23431;19306;55005;37441;18498;22872;50121;46384;7037;24376;10392;46452;35209;36647;37968;35506;48696
Méier;18741;26279;24071;19611;23267;21996;22813;21829;24208;22914;22490;18878;19699;21932;17510;18943;24581;18336;23915;14471;17532;17871;24209;20109;16376;14514;24776;25878;16413;28304;18282;14520;15553;15703;14939;12981;11035;13243;11877;16069;13790;12114;12015;19113;12509;11584;14308;42369;11035;9859;10067;21574;10417;10070;10268;8398;6325;31496;10529;9605;51019;16686;27823;7584;13185;9052;11604;7773;4132;7158;4413;8263;12648;5445;6097;17000;8993;4704;32894;43420;5855;3731;11497;8504;1852;8662;9394;39714;2170;5421;3380;5530;0;18197;16623;13017;3986;5357;18157;7250;3401;8186;11957;13973;3711;2203;8761;10346;10379;6634;8031;26149;12048;12895;10994;8214;11919;6202;10895;6119;15641;26315;15742;41731;31013;16292;19763;19123;17892;29402;14111;54955;13209;20386;23776;16934;13212;17861;25837;18889;22479;16699;29065;19998;17204;19514;19878;31630;22682;46334;28770;21875;31070;41450;37713;16920;14520;13768;35350;24107;25545;26866;24404;40025
Gamboa;3655;22714;20506;16046;19702;18431;19248;21737;20643;20621;18925;24846;17406;18367;22469;26148;21016;16044;20350;22725;31723;23242;20644;26568;17944;16223;21211;22313;25911;26011;32472;24604;21867;29893;19486;26213;13246;17790;9872;31161;10680;20630;13028;34811;17056;30482;18855;56336;15583;12710;19944;37303;22993;21436;9951;12945;15311;45462;29375;22180;64986;32095;41790;16570;34590;10339;9437;17745;14143;12581;17443;20839;25223;14453;19586;30014;21569;15969;46861;57387;12447;14917;27398;7596;17167;4739;6047;53680;14219;11249;16838;10150;13006;0;1537;3646;10592;10160;2190;8725;12305;6475;24971;26987;17055;13837;21775;3639;5386;9554;7084;9385;6446;8476;5206;10246;4023;12288;23910;10952;8290;8518;7257;54746;44028;16405;7601;32137;8052;10820;27125;69172;26223;33401;36790;9518;26227;13827;38851;10988;10860;12666;27595;15965;30218;15480;15845;22775;18649;59348;41785;17842;22215;54464;50728;6111;27241;4398;49317;38074;39512;40833;38371;53039
Santo Cristo;2118;21410;19202;14742;18398;17127;17944;20433;19339;20246;17621;26437;18949;17063;22093;24844;19712;15668;19046;20295;31347;22866;19340;26192;17569;15847;19907;21009;25536;25635;32097;24228;21491;29517;20763;25838;14523;19066;11348;30786;9376;21906;14305;34436;18332;30106;20131;55961;16859;13987;21220;36927;24269;22712;11227;14221;16587;45087;23171;23457;64611;31720;41414;17847;27037;11615;12412;19021;15420;13857;18720;22116;26500;15730;20862;31291;22845;17245;46485;57011;9376;16194;28674;7220;18444;3434;4743;53305;16981;8178;18114;7079;9934;3303;0;4719;7521;7089;3263;5653;9234;5171;26247;28264;18332;10766;23052;3526;5001;6483;4040;13157;6375;8362;5321;7202;3909;9216;25186;7859;8176;8404;7144;56022;45304;15060;7487;33414;7938;10707;28401;68797;27500;34677;38067;11240;27503;12167;40127;10874;10747;11006;25935;14305;31495;13820;14185;21115;16989;60625;43061;16182;20555;55741;52004;5735;26866;5471;48941;37699;39136;40457;37995;54315
Centro;6920;25339;23130;18671;22326;21055;21872;24362;23267;23142;21550;27367;19926;20991;24990;28772;23641;18564;22974;25246;34243;25762;23268;29088;20465;18744;23835;24938;28432;28532;34993;27125;24388;32414;22007;28734;15767;20310;12393;33682;13304;23150;15549;37332;19576;33003;21376;58857;18103;15231;22465;39823;22306;23957;12472;15466;17831;47983;31895;21493;67507;34616;44311;19091;37111;12860;11958;20265;16664;15101;16302;20152;24537;13531;17986;32535;20882;18489;49381;59908;11981;12937;29919;10116;15093;6763;8671;56201;13753;10783;15269;9684;12540;3672;4802;0;10126;9694;3632;8259;11839;8759;27492;29508;19576;13371;24296;3791;4920;9088;6618;6176;7569;5756;5359;9780;4175;11822;26430;10486;3414;6342;5988;57266;46548;17639;6331;34658;7380;9429;29646;71693;28744;35921;39311;9181;28747;13361;41372;9745;9618;12200;27129;15499;32739;15014;15379;22309;18183;61869;44305;17376;21749;56985;53249;10782;29762;1623;51838;40595;42032;43354;40892;55560
Sampaio;12149;24992;22783;18324;21979;20708;21526;19725;22921;20810;21203;16930;17594;20645;22657;16995;23294;16232;22628;12523;19295;15924;22921;18161;18133;16412;23488;24591;26100;26200;20045;24792;13605;17465;12991;14744;9049;11295;10590;17832;12503;14134;9819;20876;10561;13347;12360;44132;9088;7872;11830;23337;12180;11833;8409;6450;8815;33258;12292;11367;52782;18448;29586;10075;14948;5718;7375;9536;5589;5871;6176;10026;14411;4470;7860;20591;10756;6467;34657;45183;3942;2811;13260;5533;4967;6749;6467;41476;3626;3507;5143;3406;2414;11651;10031;11104;0;3444;11612;5337;1713;6273;15548;17564;6646;3245;12352;8433;8466;4721;6118;16843;10135;10982;9081;6301;10005;6152;14487;5417;13727;15089;13828;45323;34605;14379;17850;22714;15979;17391;17702;58547;16800;23978;27367;15021;16804;15947;29428;16976;20565;14786;18205;18085;20795;17601;17965;24895;20769;49925;32362;19962;24335;45041;41305;10091;16283;11855;37113;25870;27307;28629;26167;43616
Riachuelo;9802;23441;21233;16773;20429;19158;19975;18487;21370;19572;19652;17429;16357;19094;21420;22729;21743;14994;21077;13022;30673;22192;21371;25519;16895;15174;21938;23040;24862;24962;31423;23555;14104;28844;13490;25164;10692;11794;8815;30112;11131;14633;10474;33762;11060;14876;12859;55287;9587;8097;13948;36254;13709;13362;7416;6949;9315;44413;13821;12897;63937;31046;40741;10574;16477;5943;6381;11749;7118;10298;7705;11556;15940;4935;9389;24347;12285;7996;45812;56338;3384;4340;14789;4540;6496;4403;5135;52631;5156;2950;6673;4416;3943;9744;7684;8758;1529;0;9704;2991;3242;3927;19303;21320;8176;4774;16108;6087;6120;3495;3772;14497;7789;8635;6735;6933;7659;7395;18242;6060;11381;12743;11482;49078;38360;14792;15504;26470;13633;15045;21457;62302;20556;27733;31123;12674;20559;13601;33183;14630;18219;12440;27369;15739;24551;15254;15619;22549;18423;53681;36117;17616;21989;48797;45060;10295;26192;9509;48268;37025;38462;39784;37322;47371
